No.,StatusOrtu,Penghasilan,Status_Rumah,JMotor,Jmobil,DayaLis,KIPK
177,1,4608000,1,1,0,3,0
178,1,1000000,1,3,0,2,1
179,1,2000000,1,1,0,1,0
180,1,5000000,0,3,1,3,0
181,1,3000000,0,1,0,2,0
182,1,5000000,1,4,0,2,0
183,1,2500000,1,2,0,3,0
184,1,10000000,1,1,1,3,0
185,1,10000000,1,3,1,2,0
186,1,4700000,1,2,1,1,0
187,1,2000000,1,1,0,1,0
188,1,5500000,1,1,0,2,0
189,1,2500000,0,2,0,2,0
190,2,500000,1,1,0,2,1
191,1,1500000,1,2,0,1,0
192,1,4507500,1,2,0,2,0
193,1,5000000,0,1,0,3,0
194,1,16000000,1,3,1,3,0
195,1,8000000,0,1,0,3,0
196,1,20000000,1,3,1,3,0
197,1,5000000,1,1,0,3,0
198,1,8000000,1,2,1,1,0
199,1,3000000,1,3,0,2,0
200,1,11680686,1,3,1,3,0
201,1,2000000,0,2,0,2,1
202,1,10000000,1,2,0,2,0
203,1,5000000,1,3,0,2,0
204,1,73000000,1,1,1,3,0
205,1,1000000,1,2,0,3,0
206,1,4000000,0,1,0,1,1
207,1,7567590,1,3,1,2,0
208,1,1000000,1,3,0,2,0
209,1,6150000,0,2,0,3,0
210,1,8454500,1,4,0,1,0
211,1,4185500,0,2,0,2,1
212,1,5000000,1,3,0,2,0
213,1,2500000,1,1,2,3,0
214,1,2000000,1,4,0,2,1
215,1,8000000,1,2,0,2,0
216,1,8000000,1,2,1,3,0
217,1,30000000,1,3,1,3,0
218,1,2000000,1,3,0,2,0
219,1,5000000,1,2,0,3,0
220,2,3000000,1,2,1,2,0
221,1,4500000,1,1,1,3,0
222,1,500000,1,1,0,2,1
223,1,4000000,1,2,1,2,0
224,1,15000000,1,3,2,2,0
225,1,5000000,1,3,0,2,0
226,1,3100000,1,2,0,2,0
227,1,6000000,0,2,0,2,1
228,1,3500000,1,2,0,2,0
229,1,6000000,0,4,0,2,0
230,1,8000000,1,2,1,2,0
231,2,1955500,1,2,1,2,0
232,1,0,1,2,1,3,0
233,1,9778800,1,3,1,2,0
234,2,2100000,1,1,0,2,0
235,1,8000000,1,2,0,3,0
236,1,5000000,1,1,0,2,0
237,1,3000000,1,2,0,3,0
238,1,5000000,1,3,1,3,0
239,1,7000000,1,3,0,3,0
240,1,450000,1,1,0,1,1
241,1,5000000,1,2,0,2,0
242,1,5000000,1,3,0,2,0
243,1,4250000,1,2,0,2,0
244,1,3000000,1,2,0,2,0
245,1,3000000,1,2,0,3,0
246,4,0,1,1,0,2,1
247,1,3000000,1,3,0,2,0
248,1,39524000,1,2,1,3,0
249,1,500000,0,1,0,1,0
250,1,500000,1,1,0,1,0
251,1,3000000,0,2,0,2,1
252,1,3000000,1,3,0,3,0
253,1,4000000,1,2,0,2,0
254,1,9000000,1,1,0,1,0
255,1,8400000,0,3,1,3,0
256,1,4000000,1,2,1,2,0
257,1,1000000,1,2,0,2,0
258,1,20000000,1,1,2,3,0
259,1,12500000,1,2,1,2,0
260,1,5000000,0,2,1,3,0
261,2,9500000,1,3,0,1,0
262,1,5500000,1,2,0,2,0
263,1,7000000,1,2,0,2,0
264,1,8500000,1,1,1,3,0
265,1,10000000,1,3,1,2,0
266,1,1800000,0,1,0,2,1
267,2,1500000,0,1,0,2,1
268,2,500000,1,1,0,1,1
269,1,750000,1,1,0,2,1
270,1,4000000,1,2,0,3,0
271,1,9000000,1,1,1,3,0
272,1,4000000,0,1,0,2,0
273,2,0,1,2,0,2,1
274,1,3000000,1,2,0,3,0
275,2,8000000,1,3,1,3,0
276,1,1500000,1,1,0,2,0
277,1,2500000,0,2,0,2,1
278,1,5000000,1,2,1,1,0
